id;title;buyer;country;cpv_codes;deadline;status;publication_date;source_url;source
237542-2023;Italia-Roma: Servizi informatici: consulenza, sviluppo di software, Internet e supporto;Ferservizi S.p.A. - Gruppo Ferrovie dello Stato Italiane (Società con socio unico soggetta alla direzione e coordinamento di Ferrovie dello Stato Italiane S.p.A.);ITA;79411000, 79412000, 79415200;;Unknown;2023-04-21+02:00;https://ted.europa.eu/it/notice/-/detail/237542-2023;TED
328065-2023;Italia-Roma: Servizi informatici: consulenza, sviluppo di software, Internet e supporto;Ferservizi S.p.A. - Gruppo Ferrovie dello Stato Italiane (Società con socio unico soggetta alla direzione e coordinamento di Ferrovie dello Stato Italiane S.p.A.);ITA;79411100, 79413000;;Unknown;2023-06-02+02:00;https://ted.europa.eu/it/notice/-/detail/328065-2023;TED
469350-2023;Lussemburgo-Lussemburgo: Invito a manifestare interesse;Corte dei conti europea;LUX;79416000, 79416100, 79416200;2027-07-21;Open;2023-08-02+02:00;https://ted.europa.eu/it/notice/-/detail/469350-2023;TED
483396-2023;Italia-Forlì: Servizi di ingegneria;ROMAGNA ACQUE - SOCIETA' DELLE FONTI S.P.A.;ITA;79132000, 79417000;;Unknown;2023-08-09+02:00;https://ted.europa.eu/it/notice/-/detail/483396-2023;TED
544931-2023;Belgio – Servizi di consulenza commerciale e di gestione e servizi connessi – Accord-cadre pour le support externe des projets et programmes stratégiques;skeyes;BEL;79400000, 79400000, 79400000;2023-10-09;Closed;2023-09-08Z;https://ted.europa.eu/it/notice/-/detail/544931-2023;TED
553551-2023;Belgio – Servizi di consulenza di gestione delle risorse umane – Rémunérations alternatives;Office national de Sécurité sociale;BEL;79414000, 79414000;2023-10-16;Closed;2023-09-14Z;https://ted.europa.eu/it/notice/-/detail/553551-2023;TED
599509-2023;Belgio – Lavori di costruzione – Overheidsopdracht voor de aanduiding van een private partner voor de opdrachthoudende vereniging IVAGO;Gent;BEL;79420000;2023-11-14;Closed;2023-10-04Z;https://ted.europa.eu/it/notice/-/detail/599509-2023;TED
626289-2023;Belgio – Servizi di organismi di riscossione – Incasso traject;EMMAUS VZW;BEL;79100000;2023-11-14;Closed;2023-10-16Z;https://ted.europa.eu/it/notice/-/detail/626289-2023;TED
629245-2023;Belgio – Servizi di consulenza in materia di sicurezza – Levering van DPO- en CISO-diensten;Departement Zorg;BEL;79417000, 79417000;2023-11-28;Closed;2023-10-17Z;https://ted.europa.eu/it/notice/-/detail/629245-2023;TED
672048-2023;Belgio – Servizi di consulenza di gestione commerciale – L'image de marque de l'employeur;Elia Transmission Belgium;BEL;79413000, 79414000, 79410000;;Unknown;2023-11-03Z;https://ted.europa.eu/it/notice/-/detail/672048-2023;TED
678825-2023;Belgio – Servizi di consulenza di gestione commerciale – L'image de marque de l'employeur;Elia Transmission Belgium;BEL;79413000, 79414000, 79410000;2023-12-16;Closed;2023-11-08Z;https://ted.europa.eu/it/notice/-/detail/678825-2023;TED
679124-2023;Belgio – Servizi di organismi di riscossione – Incasso traject;EMMAUS VZW;BEL;79100000;2023-11-14;Closed;2023-11-08Z;https://ted.europa.eu/it/notice/-/detail/679124-2023;TED
680375-2023;Belgio – Lavori di costruzione – Overheidsopdracht voor de aanduiding van een private partner voor de opdrachthoudende vereniging IVAGO;Gent;BEL;79420000;2023-12-12;Closed;2023-11-09Z;https://ted.europa.eu/it/notice/-/detail/680375-2023;TED
685144-2023;Belgio – Servizi di indagine – Opdracht voor totstandkoming van een raamovereenkomst voor de opmaak van een bovenlokale visie op uitgifte van bedrijventerreinen;Vlaamse Overheid;BEL;79140000, 79140000;2023-12-11;Closed;2023-11-10Z;https://ted.europa.eu/it/notice/-/detail/685144-2023;TED
688057-2023;Belgio – Servizi di raccolta e di collazione dati – Aanlevering en indexering van wetgeving m.b.t. omgeving, natuur en energie - Navigator;VITO NV;BEL;79130000, 79130000, 79130000;2023-12-12;Closed;2023-11-13Z;https://ted.europa.eu/it/notice/-/detail/688057-2023;TED
691187-2023;Belgio – Servizi di consulenza commerciale e di gestione e servizi connessi – Tijdelijke consultancyopdracht voor een ‘Association Relations Manager Duitstalige regio’s’ voor Toerisme Vlaanderen;Toerisme Vlaanderen;BEL;79400000, 79400000;2023-12-13;Closed;2023-11-14Z;https://ted.europa.eu/it/notice/-/detail/691187-2023;TED
694469-2023;Belgio – Servizi di consulenza di gestione commerciale – L'image de marque de l'employeur;Elia Transmission Belgium;BEL;79413000, 79414000, 79410000;2023-12-16;Closed;2023-11-15Z;https://ted.europa.eu/it/notice/-/detail/694469-2023;TED
712062-2023;Belgio – Servizi di consulenza commerciale e di gestione e servizi connessi – Tijdelijke consultancyopdracht voor een ‘Association Relations Manager Duitstalige regio’s’ voor Toerisme Vlaanderen;Toerisme Vlaanderen;BEL;79400000, 79400000;2023-12-13;Closed;2023-11-23Z;https://ted.europa.eu/it/notice/-/detail/712062-2023;TED
738017-2023;Italia – Servizi di pubbliche relazioni – Informazione e promozione regimi di qualità UE;Consorzio Tutela del Limone di Siracusa IGP;ITA;79416000, 79416100;2023-12-20;Closed;2023-12-05Z;https://ted.europa.eu/it/notice/-/detail/738017-2023;TED
755301-2023;Italia – Servizi di pubbliche relazioni – Informazione e promozione regimi di qualità UE;Consorzio Tutela del Limone di Siracusa IGP;ITA;79416000, 79416100;2023-12-20;Closed;2023-12-13Z;https://ted.europa.eu/it/notice/-/detail/755301-2023;TED
765483-2023;Italia – Servizi di consulenza di gestione commerciale – Servizio di assistenza tecnica e supporto per le attività di controllo desk e in loco sugli avvisi della Direzione Generale Istruzione, Formazione e Lavoro relativi al PR FSE+ 2021-2027 - Numero di riferimento GECA 23/2023.;Giunta Regionale della Lombardia;ITA;79413000, 79413000;2024-01-19;Closed;2023-12-18Z;https://ted.europa.eu/it/notice/-/detail/765483-2023;TED
783174-2023;Belgio – Servizi di consulenza di valutazione – MP relatif au contrôle qualité par une équipe d'experts indépendants, des prestations et des livrables produits par les opérateurs d'accompagnement;WE Accompagnement et Stratégie;BEL;79419000, 79419000, 79419000;2024-01-26;Closed;2023-12-22Z;https://ted.europa.eu/it/notice/-/detail/783174-2023;TED
783316-2023;Belgio – Servizi di supervisione di progetti, esclusi i progetti di costruzione – Mise à disposition de change managers pour l'OTW;OPERATEUR DE TRANSPORT DE WALLONIE;BEL;79421100, 79421100;2024-01-19;Closed;2023-12-22Z;https://ted.europa.eu/it/notice/-/detail/783316-2023;TED
789020-2023;Belgio – Servizi connessi alla gestione – Contrat de concession de services relatif à la gestion du site touristique Carré Janson de Tournai;Ville de tournai;BEL;79420000, 79420000;2024-03-14;Closed;2023-12-26Z;https://ted.europa.eu/it/notice/-/detail/789020-2023;TED
789166-2023;Belgio – Servizi di ufficiali giudiziari – Raamovereenkomst activiteiten van minnelijke en gerechtelijke invordering van schuldvorderingen;Het Ziekenhuisnetwerk Antwerpen (ZNA) vzw;BEL;79100000;2024-01-31;Closed;2023-12-26Z;https://ted.europa.eu/it/notice/-/detail/789166-2023;TED
23139-2024;Belgio – Servizi di amministrazione contratti – Broker Diensten;bpost;BEL;79400000;2024-02-12;Closed;2024-01-12Z;https://ted.europa.eu/it/notice/-/detail/23139-2024;TED
41808-2024;Belgio – Servizi di ufficiali giudiziari – Raamovereenkomst activiteiten van minnelijke en gerechtelijke invordering van schuldvorderingen;Het Ziekenhuisnetwerk Antwerpen (ZNA) vzw;BEL;79100000;2024-01-31;Closed;2024-01-22Z;https://ted.europa.eu/it/notice/-/detail/41808-2024;TED
57625-2024;Belgio – Servizi di amministrazione contratti – Broker Diensten;bpost;BEL;79400000;2024-02-12;Closed;2024-01-29Z;https://ted.europa.eu/it/notice/-/detail/57625-2024;TED
70751-2024;Belgio – Servizi di gestione di progetti, esclusi i progetti di costruzione – Marché de services d'auteur de projet pour la rénovation énergétique de 100 logements;Habitations Sociales du Roman Païs;BEL;79421000, 79421000, 79421000;2024-03-11;Closed;2024-02-02Z;https://ted.europa.eu/it/notice/-/detail/70751-2024;TED
71151-2024;Italia – Servizi di pubbliche relazioni – Informazione e promozione regimi di qualità UE;Consorzio Tutela del Limone di Siracusa IGP;ITA;79416000, 79416000;2024-02-22;Closed;2024-02-02Z;https://ted.europa.eu/it/notice/-/detail/71151-2024;TED
71829-2024;Belgio – Servizi di gestione di progetti, esclusi i progetti di costruzione – Marché de services d'auteur de projet pour la rénovation énergétique de 100 logements;Habitations Sociales du Roman Païs;BEL;79421000, 79421000, 79421000;2024-03-11;Closed;2024-02-02Z;https://ted.europa.eu/it/notice/-/detail/71829-2024;TED
83861-2024;Belgio – Servizi di gestione di progetti, esclusi i progetti di costruzione – Marché de services d'auteur de projet pour la rénovation énergétique de 100 logements;Habitations Sociales du Roman Païs;BEL;79421000, 79421000, 79421000;2024-02-09;Closed;2024-02-08Z;https://ted.europa.eu/it/notice/-/detail/83861-2024;TED
99195-2024;Belgio – Servizi di gestione di progetti, esclusi i progetti di costruzione – Marché de services d'auteur de projet pour la rénovation énergétique de 100 logements;Habitations Sociales du Roman Païs;BEL;79421000, 79421000, 79421000;2024-03-11;Closed;2024-02-16Z;https://ted.europa.eu/it/notice/-/detail/99195-2024;TED
EIB-20110650-19;Consulting Services for Construction Supervision of M3 Cimislia Bypass, km 18+700 – km 26+138. Moldova Roads III B;European Investment Bank (EIB);LUX;;2026-03-30;Open;2026-02-13;https://www.eib.org/en/about/procurement/calls/all/20110650-19;EIB
EIB-20190810-01;Corridor Economique RN 13;European Investment Bank (EIB);LUX;;;Unknown;2026-02-10;https://www.eib.org/en/about/procurement/calls/all/20190810-01;EIB
EIB-20260000-00;Consulting Service for Detailed Design of the Water Supply Network for Sighnaghi and Dedoplistskaro Municipalities Using Headworks Located in Shroma Village, Lagodekhi Municipality;European Investment Bank (EIB);LUX;;2026-02-25;Closed;2026-02-09;https://www.eib.org/en/about/procurement/calls/all/20260000-00;EIB
EIB-20170608-05;Rehabilitation of Railway Line Between Durres and Rrogozhine;European Investment Bank (EIB);LUX;;2026-06-10;Open;2026-02-09;https://www.eib.org/en/about/procurement/calls/all/20170608-05;EIB
EIB-construction-of-24-km-southern-section-of-sisian-kajaran-road-copy;Construction of 24-km Southern section of Sisian-Kajaran road;European Investment Bank (EIB);LUX;;;Unknown;2026-02-05;https://www.eib.org/en/about/procurement/calls/all/construction-of-24-km-southern-section-of-sisian-kajaran-road-copy;EIB
EIB-20160754-16;Gestion, Contrôle et surveillance des travaux restants de réhabilitation de la RN 6 entre Ambanja (PK 467+000) et Antsiranana (PK 700+080;European Investment Bank (EIB);LUX;;;Unknown;2026-01-29;https://www.eib.org/en/about/procurement/calls/all/20160754-16;EIB
EIB-cft-1834;Provision of Insurance Brokerage Services for buildings located inside the EU for the EIB Group;European Investment Bank (EIB);LUX;;2026-03-02;Closed;2026-01-26;https://www.eib.org/en/about/procurement/calls/all/cft-1834;EIB
EIB-aa-012109001;Feasibility Study for the Upgrade of Al-Hanovil WWTP and Kafr El Battikh WWTP in Alexandria Governorate;European Investment Bank (EIB);LUX;;2026-03-05;Closed;2026-01-26;https://www.eib.org/en/about/procurement/calls/all/aa-012109001;EIB
EIB-20140041-26;Supply and installation of a (turn-key) Seed processing line for the final beneficiary National Center for Seed Research and Production from Republic of Moldova;European Investment Bank (EIB);LUX;;;Unknown;2026-01-22;https://www.eib.org/en/about/procurement/calls/all/20140041-26;EIB
EIB-20190714-06;Single-phase and three-phase power transformers;European Investment Bank (EIB);LUX;;;Unknown;2026-01-19;https://www.eib.org/en/about/procurement/calls/all/20190714-06;EIB
EIB-20160404-15;Construction/Rehabilitation Works for Road Safety Improvement, East Georgia (Lot I), (Lot II) and (Lot III);European Investment Bank (EIB);LUX;;2026-02-16;Closed;2026-01-16;https://www.eib.org/en/about/procurement/calls/all/20160404-15;EIB
EIB-20160404-14;Construction/Rehabilitation Works for Road Safety Improvement, West Georgia (Lot I), (Lot II) and (Lot III);European Investment Bank (EIB);LUX;;2026-02-16;Closed;2026-01-16;https://www.eib.org/en/about/procurement/calls/all/20160404-14;EIB
EIB-20140041-28;Works for construction of the Horticulture Virology Research Center with reconstruction of the existing building, with partial addition of floors;European Investment Bank (EIB);LUX;;2026-03-03;Closed;2026-01-09;https://www.eib.org/en/about/procurement/calls/all/20140041-28;EIB
EIB-aa-012600001;Horizontal Support for the Global Gateway Infrastructure Project Delivery Facility (GG IPDF);European Investment Bank (EIB);LUX;;2026-02-12;Closed;2026-01-09;https://www.eib.org/en/about/procurement/calls/all/aa-012600001;EIB
EIB-cft-1827;Purchasing of certified carbon credits for EIB Group’s residual internal greenhouse gas emissions in 2024-2025;European Investment Bank (EIB);LUX;;2026-02-23;Closed;2026-01-08;https://www.eib.org/en/about/procurement/calls/all/cft-1827;EIB
EIB-20190714-05;Purchase of bolts and ironwork for a medium voltage (MV) and low voltage (LV) distribution network;European Investment Bank (EIB);LUX;;;Unknown;2026-01-07;https://www.eib.org/en/about/procurement/calls/all/20190714-05;EIB
EIB-20190714-02;LV distribution panels for high-voltage type A/low voltage (LV) public distribution boards, LV circuit breakers and LV line accessories;European Investment Bank (EIB);LUX;;;Unknown;2026-01-07;https://www.eib.org/en/about/procurement/calls/all/20190714-02;EIB
EIB-20190714-01;Purchase of electric insulators;European Investment Bank (EIB);LUX;;;Unknown;2026-01-07;https://www.eib.org/en/about/procurement/calls/all/20190714-01;EIB
EIB-20210138-01;Civil works construction, provision of materials, equipment, electromechanical assembly, testing and commissioning of 500 kV Ecuador-Peru electricity interconnection system;European Investment Bank (EIB);LUX;;;Unknown;2025-12-30;https://www.eib.org/en/about/procurement/calls/all/20210138-01;EIB
EIB-construction-of-24-km-southern-section-of-sisian-kajaran-road;Construction of 24-km Southern section of Sisian-Kajaran road;European Investment Bank (EIB);LUX;;;Unknown;2025-12-23;https://www.eib.org/en/about/procurement/calls/all/construction-of-24-km-southern-section-of-sisian-kajaran-road;EIB
EIB-20200371-9;Structural Engineer;European Investment Bank (EIB);LUX;;;Unknown;2025-12-22;https://www.eib.org/en/about/procurement/calls/all/20200371-9;EIB
EIB-construction-of-8-new-bridges-along-nr13-south-in-bolikhamxay-5-and-khammouan-3;Lao Resilient Roads Framework Loan – National Road No. 13 South Project;European Investment Bank (EIB);LUX;;;Unknown;2025-12-19;https://www.eib.org/en/about/procurement/calls/all/construction-of-8-new-bridges-along-nr13-south-in-bolikhamxay-5-and-khammouan-3;EIB
EIB-implementation-support-and-work-supervision-isws-consultancy-services-for-the-construction-of-12-new-bridges-along-nr13-south-in-bolikhamxay-and-khammouan-provinces;Implementation Support and Work Supervision (ISWS) Consultancy Services for the Construction of 12 New Bridges Along NR13 South in Bolikhamxay and Khammouan Provinces;European Investment Bank (EIB);LUX;;;Unknown;2025-12-19;https://www.eib.org/en/about/procurement/calls/all/implementation-support-and-work-supervision-isws-consultancy-services-for-the-construction-of-12-new-bridges-along-nr13-south-in-bolikhamxay-and-khammouan-provinces;EIB
EIB-20170354-04;International Competitive Bidding No. 1/25 (EIB) –  “Expansion of the Salado River Capacity – Section V,  Stages 1 and 2”, in the municipalities of Alberti,  Bragado and Chacabuco;European Investment Bank (EIB);LUX;;2026-02-26;Closed;2026-01-02;https://www.eib.org/en/about/procurement/calls/all/20170354-04;EIB
EIB-20170017-06;Energy efficiency improvement and rehabilitation of Psychiatry Clinical Hospital;European Investment Bank (EIB);LUX;;;Unknown;2025-12-19;https://www.eib.org/en/about/procurement/calls/all/20170017-06;EIB
EIB-20230153-11;Construction of Reyhanlı and Kumlu Drinking Water Network Supply;European Investment Bank (EIB);LUX;;;Unknown;2025-12-18;https://www.eib.org/en/about/procurement/calls/all/20230153-11;EIB
EIB-20170671-27;Works on reconstruction and expansion of the Bogojevo Port in Serbia;European Investment Bank (EIB);LUX;;2026-03-05;Closed;2025-12-15;https://www.eib.org/en/about/procurement/calls/all/20170671-27;EIB
EIB-cft-1819;Provision of Safety Advisory Services for the European Investment Bank Group (EIBG) in Luxembourg and Abroad;European Investment Bank (EIB);LUX;;2026-02-12;Closed;2025-12-09;https://www.eib.org/en/about/procurement/calls/all/cft-1819;EIB
EIB-20220950-02;Construction works for stormwater drainage systems and development of associated roads in the cities of Djougou and Kandi (phase two).;European Investment Bank (EIB);LUX;;2026-01-20;Closed;2025-12-12;https://www.eib.org/en/about/procurement/calls/all/20220950-02;EIB
EIB-20190331-10;Construction of New 5,000 m3/d Water Treatment Plant at Vila da Gorongosa, Sofala Province, Mozambique.;European Investment Bank (EIB);LUX;;2026-01-23;Closed;2025-12-10;https://www.eib.org/en/about/procurement/calls/all/20190331-10;EIB
EIB-20220274-00;PQ (Prequalification) for Solar4Kosovo I – Photovoltaics;European Investment Bank (EIB);LUX;;;Unknown;2025-12-09;https://www.eib.org/en/about/procurement/calls/all/20220274-00;EIB
EIB-ceoi-2512;Luxembourg: EIB - Call for Expression of Interest to select financial intermediaries to implement financial instruments under the Multiregional Investment Platform for Romania;European Investment Bank (EIB);LUX;;2026-03-09;Closed;2026-02-13;https://www.eib.org/en/about/procurement/calls/all/ceoi-2512;EIB
EIB-20180675-18;Construction of the water treatment, collection and distribution plant serving the town of Calceta in Bolívar Canton, in the province of Manabí;European Investment Bank (EIB);LUX;;2026-01-19;Closed;2025-12-08;https://www.eib.org/en/about/procurement/calls/all/20180675-18;EIB
EIB-aa-010963006;Deputy Programme Manager (DPM) of the Greening Financial System (GFS) TA Programme;European Investment Bank (EIB);LUX;;2026-02-27;Closed;2025-12-19;https://www.eib.org/en/about/procurement/calls/all/aa-010963006;EIB
EIB-cft-1802;Real Estate Multicompetences;European Investment Bank (EIB);LUX;;2026-02-16;Closed;2025-12-05;https://www.eib.org/en/about/procurement/calls/all/cft-1802;EIB
EIB-20180581-05;Preparation of detailed technical design and cost estimation documents, along with provision of author's supervision for the Seismic upgrades, energy efficiency improvements and reconstruction of “Karmir blur”, “Arshakunyats” and “Kanaker-Zeytun” health centers;European Investment Bank (EIB);LUX;;;Unknown;2025-12-03;https://www.eib.org/en/about/procurement/calls/all/20180581-05;EIB
EIB-20190331-11;Construction of New 15,000 m3/d Water Treatment Module at Mutua Water Treatment Plant in Beira, Sofala Province, Mozambique.;European Investment Bank (EIB);LUX;;2026-01-16;Closed;2025-12-01;https://www.eib.org/en/about/procurement/calls/all/20190331-11;EIB
EIB-20200250-05;Procurement of new trolleybuses over 11.9 meters long and over 18.5 meters long with 100% low floor level of one producer, including a set of spare parts and consumables, a set of equipment and tools for maintenance, repair and related services, totalling up to 50,000,000.00 euros, sales taxes and customs duties excluded;European Investment Bank (EIB);LUX;;2026-02-12;Closed;2025-11-28;https://www.eib.org/en/about/procurement/calls/all/20200250-05;EIB
EIB-20230032-04;Construction of new railway section from Kriva Palanka to the border with Republic of Bulgaria, as part of Corridor VIII;European Investment Bank (EIB);LUX;;;Unknown;2025-11-28;https://www.eib.org/en/about/procurement/calls/all/20230032-04;EIB
EIB-20100562-04;Procurement of Goods for Extension and  Modernisation of EPBiH Electricity Distribution Network;European Investment Bank (EIB);LUX;;;Unknown;2025-11-27;https://www.eib.org/en/about/procurement/calls/all/20100562-04;EIB
EIB-cft-1838;Provision of Background Screening service for the EIB Group;European Investment Bank (EIB);LUX;;;Unknown;2025-11-26;https://www.eib.org/en/about/procurement/calls/all/cft-1838;EIB
EIB-20220640-04;Construction of (A) Elevated Metro stations Seven nos in Reach 3A, namely (1) Hingna Mount View (2) Rajiv Nagar (3) Wanadongri, (4) APMC (5) Raipur (6) Hingna Bus station (7) Hingna.;European Investment Bank (EIB);LUX;;;Unknown;2025-11-21;https://www.eib.org/en/about/procurement/calls/all/20220640-04;EIB
EIB-2022-0640-08;Design, Manufacture, Supply, Installation, Testing and Commissioning of Communication Based Signaling and Train Control System for Nagpur Metro Rail Project Phase-II with Augmentation of Phase- I;European Investment Bank (EIB);LUX;;;Unknown;2025-11-21;https://www.eib.org/en/about/procurement/calls/all/2022-0640-08;EIB
EIB-2022-0640-05;Construction of 6 Nos Elevated Metro Stations (Cantonment, Kamptee Police Station, Kamptee Municipal Council, Dragon Palace, Golf Club and Kanhan River Metro Station) between Ch. - 7576.78m m to Ch -13457.76m in Reach 2B of NMRP Phase 2.;European Investment Bank (EIB);LUX;;;Unknown;2025-11-21;https://www.eib.org/en/about/procurement/calls/all/2022-0640-05;EIB
EIB-20230365-04;Construction of the Northern Section of the Sisian Kajaran Road;European Investment Bank (EIB);LUX;;2026-01-22;Closed;2025-12-18;https://www.eib.org/en/about/procurement/calls/all/20230365-04;EIB
EIB-20170028-002;Tunisia-Italy Power Interconnection Tunisian side – PIU Consultancy Services;European Investment Bank (EIB);LUX;;;Unknown;2025-11-13;https://www.eib.org/en/about/procurement/calls/all/20170028-002;EIB
EIB-aa-012752001;Technical Assistance to support coordination for Baku Metro Project preparation;European Investment Bank (EIB);LUX;;2025-12-30;Closed;2025-11-12;https://www.eib.org/en/about/procurement/calls/all/aa-012752001;EIB
EIB-20180675-11;Implementation of phases I and II of the drinking water project for El Carmen, province of Manabí;European Investment Bank (EIB);LUX;;2026-01-05;Closed;2025-11-10;https://www.eib.org/en/about/procurement/calls/all/20180675-11;EIB
EIB-20180837-04;North Macedonia - Technical Assistance to the Project Management Unit of the Ministry of Environment and Physical Planning – North Macedonia;European Investment Bank (EIB);LUX;;;Unknown;2025-11-04;https://www.eib.org/en/about/procurement/calls/all/20180837-04;EIB
EIB-20230365-03;Construction supervision consultant for the Construction of the 24 km Southern Section of the Sisian - Kajaran Road;European Investment Bank (EIB);LUX;;2025-12-15;Closed;2025-11-03;https://www.eib.org/en/about/procurement/calls/all/20230365-03;EIB
EIB-20160404-13;Construction/Rehabilitation Works for Road Safety Improvement, West Georgia (Lot I) and East Georgia (Lot II);European Investment Bank (EIB);LUX;;2025-12-03;Closed;2025-11-03;https://www.eib.org/en/about/procurement/calls/all/20160404-13;EIB
EIB-cft-1757;Enhanced integration of climate and environmental risks into credit risk;European Investment Bank (EIB);LUX;;;Unknown;2025-10-31;https://www.eib.org/en/about/procurement/calls/all/cft-1757;EIB
EIB-cft-1760;Records Storage Services;European Investment Bank (EIB);LUX;;;Unknown;2025-10-29;https://www.eib.org/en/about/procurement/calls/all/cft-1760;EIB
EIB-cft-1816;Luxembourg: Graphic design services;European Investment Bank (EIB);LUX;;2026-01-15;Closed;2025-10-28;https://www.eib.org/en/about/procurement/calls/all/cft-1816;EIB
EIB-20080194-05;Construction of 400kV Substation in Balti;European Investment Bank (EIB);LUX;;;Unknown;2025-10-28;https://www.eib.org/en/about/procurement/calls/all/20080194-05;EIB
EIB-20110487-59;Ukraine Municipal Infrastructure Programme (UMIP) / Thermomodernization of the public buildings in the City Zaporizhzhia;European Investment Bank (EIB);LUX;;;Unknown;2025-10-23;https://www.eib.org/en/about/procurement/calls/all/20110487-59;EIB
EIB-aa-012844001;Programme Manager EU-AFRICA Global Gateway Critical Raw Materials (CRM) Window Technical Assistance Programme;European Investment Bank (EIB);LUX;;2025-12-01;Closed;2025-10-20;https://www.eib.org/en/about/procurement/calls/all/aa-012844001;EIB
EIB-20140041-27;Supply of agriculture machinery for the technical University of Moldova;European Investment Bank (EIB);LUX;;;Unknown;2025-10-21;https://www.eib.org/en/about/procurement/calls/all/20140041-27;EIB
EIB-cft-pas-2025-02;EIB Project Advisory Support Team in Greece;European Investment Bank (EIB);LUX;;2025-11-19;Closed;2025-10-15;https://www.eib.org/en/about/procurement/calls/all/cft-pas-2025-02;EIB
EIB-20220693-00;Supply of E&M Equipment;European Investment Bank (EIB);LUX;;;Unknown;2025-10-15;https://www.eib.org/en/about/procurement/calls/all/20220693-00;EIB
EIB-cft-1820;Actuarial services for pension scheme valuations and actuarial studies on request for the EIB Group;European Investment Bank (EIB);LUX;;2025-11-25;Closed;2026-02-09;https://www.eib.org/en/about/procurement/calls/all/cft-1820;EIB
